what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312992996907
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1312992997266
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1312992999309
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1312992999325
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1312993000869
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312993008825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993098276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993121234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993122763
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993123106
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1312993126741
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1312993131951
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1312993144088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993146506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993161667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993165864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993167549
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312993171183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993189248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993870007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993875452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993877948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993879679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993879679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993880600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993880974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312993882206
